00:04:06.467,,,,,,,,,,,,,,,
00:04:06.337,,,,,,,,,,,,,,,
00:04:06.206,,,,,,,,,,,,,,,
00:04:06.076,,,,,,,,,,,,,,,
00:04:05.945,,,,,,,,,,,,,,,
00:04:05.815,,,,,,,,,,,,,,,
00:04:05.684,,,,,,,,,,,,,,,
00:04:05.554,,,,,,,,,,,,,,,
00:04:05.424,,,,,,,,,,,,,,,
00:04:05.293,,,,,,,,,,,,,,,
00:04:05.163,,,,,,,,,,,,,,,
00:04:05.032,,,,,,,,,,,,,,,
00:04:04.902,,,,,,,,,,,,,,,
00:04:04.771,,,,,,,,,,,,,,,
00:04:04.641,,,,,,,,,,,,,,,
00:04:04.510,,,,,,,,,,,,,,,
00:04:04.380,,,,,,,,,,,,,,,
00:04:04.250,,,,,,,,,,,,,,,
00:04:04.119,,,,,,,,,,,,,,,
00:04:03.989,,,,,,,,,,,,,,,
00:04:03.858,,,,,,,,,,,,,,,
00:04:03.728,,,,,,,,,,,,,,,
00:04:03.597,,,,,,,,,,,,,,,
00:04:03.467,,,,,,,,,,,,,,,
00:04:03.337,,,,,,,,,,,,,,,
00:04:03.206,,,,,,,,,,,,,,,
00:04:03.076,,,,,,,,,,,,,,,
00:04:02.945,,,,,,,,,,,,,,,
00:04:02.815,,,,,,,,,,,,,,,
00:04:02.684,,,,,,,,,,,,,,,
00:04:02.554,,,,,,,,,,,,,,,
00:04:02.424,,,,,,,,,,,,,,,
00:04:02.293,,,,,,,,,,,,,,,
00:04:02.163,,,,,,,,,,,,,,,
00:04:02.032,,,,,,,,,,,,,,,
00:04:01.902,,,,,,,,,,,,,,,
00:04:01.771,,,,,,,,,,,,,,,
00:04:01.641,,,,,,,,,,,,,,,
00:04:01.510,,,,,,,,,,,,,,,
00:04:01.380,,,,,,,,,,,,,,,
00:04:01.250,,,,,,,,,,,,,,,
00:04:01.119,,,,,,,,,,,,,,,
00:04:00.989,,,,,,,,,,,,,,,
00:04:00.858,,,,,,,,,,,,,,,
